run, problem, method, Expansions, GoalTests, NewNodes, plan_size, time_elapsed
0,1,breadth_first_search,43,56,180,6,0.165043137
1,1,breadth_first_search,43,56,180,6,0.17527425
2,1,breadth_first_search,43,56,180,6,0.159505863
3,1,breadth_first_search,43,56,180,6,0.111957966
4,1,breadth_first_search,43,56,180,6,0.165278558
5,1,breadth_first_search,43,56,180,6,0.185139965
0,1,depth_first_graph_search,12,13,48,12,0.03013943
1,1,depth_first_graph_search,12,13,48,12,0.029075938
2,1,depth_first_graph_search,12,13,48,12,0.027409438
3,1,depth_first_graph_search,12,13,48,12,0.025184266
4,1,depth_first_graph_search,12,13,48,12,0.030157922
5,1,depth_first_graph_search,12,13,48,12,0.030177557
0,1,greedy_best_first_graph_search,7,9,28,6,0.014366429
1,1,greedy_best_first_graph_search,7,9,28,6,0.014325403
2,1,greedy_best_first_graph_search,7,9,28,6,0.014355686
3,1,greedy_best_first_graph_search,7,9,28,6,0.014341117
4,1,greedy_best_first_graph_search,7,9,28,6,0.014396821
5,1,greedy_best_first_graph_search,7,9,28,6,0.014313129
0,1,uniform_cost_search,55,57,224,6,0.118415731
1,1,uniform_cost_search,55,57,224,6,0.116634372
2,1,uniform_cost_search,55,57,224,6,0.114141992
3,1,uniform_cost_search,55,57,224,6,0.112138489
4,1,uniform_cost_search,55,57,224,6,0.118822696
5,1,uniform_cost_search,55,57,224,6,0.117711096
0,2,breadth_first_search,3343,4609,30509,9,45.334070446
1,2,breadth_first_search,3343,4609,30509,9,47.87510274
2,2,breadth_first_search,3343,4609,30509,9,50.299560788
3,2,breadth_first_search,3343,4609,30509,9,46.028982932
4,2,breadth_first_search,3343,4609,30509,9,48.064056074
5,2,breadth_first_search,3343,4609,30509,9,45.068225011
0,2,depth_first_graph_search,582,583,5211,575,8.577733801
1,2,depth_first_graph_search,582,583,5211,575,8.65013252
2,2,depth_first_graph_search,582,583,5211,575,9.258226463
3,2,depth_first_graph_search,582,583,5211,575,13.18483412
4,2,depth_first_graph_search,582,583,5211,575,8.459407539
5,2,depth_first_graph_search,582,583,5211,575,12.889639993
0,2,greedy_best_first_graph_search,990,992,8910,17,11.813447181
1,2,greedy_best_first_graph_search,990,992,8910,17,13.348726467
2,2,greedy_best_first_graph_search,990,992,8910,17,11.689628202
3,2,greedy_best_first_graph_search,990,992,8910,17,11.627268788
4,2,greedy_best_first_graph_search,990,992,8910,17,11.920962001
5,2,greedy_best_first_graph_search,990,992,8910,17,11.722476302
0,2,uniform_cost_search,4852,4854,44030,9,58.16377787
1,2,uniform_cost_search,4852,4854,44030,9,64.229398465
2,2,uniform_cost_search,4852,4854,44030,9,57.709525753
3,2,uniform_cost_search,4852,4854,44030,9,57.93879994
4,2,uniform_cost_search,4852,4854,44030,9,59.148055807
5,2,uniform_cost_search,4852,4854,44030,9,58.251231864
0,3,breadth_first_search,14663,18098,129631,12,277.981054148
1,3,breadth_first_search,14663,18098,129631,12,277.86494655
2,3,breadth_first_search,14663,18098,129631,12,263.484327974
3,3,breadth_first_search,14663,18098,129631,12,260.408650469
4,3,breadth_first_search,14663,18098,129631,12,264.443359551
5,3,breadth_first_search,14663,18098,129631,12,269.354585963
0,3,depth_first_graph_search,627,628,5176,596,9.685390762
1,3,depth_first_graph_search,627,628,5176,596,9.962455375
2,3,depth_first_graph_search,627,628,5176,596,9.681418197
3,3,depth_first_graph_search,627,628,5176,596,9.781999465
4,3,depth_first_graph_search,627,628,5176,596,9.675289825
5,3,depth_first_graph_search,627,628,5176,596,9.675176353
0,3,greedy_best_first_graph_search,5614,5616,49429,22,77.262460322
1,3,greedy_best_first_graph_search,5614,5616,49429,22,76.325257122
2,3,greedy_best_first_graph_search,5614,5616,49429,22,77.876892253
3,3,greedy_best_first_graph_search,5614,5616,49429,22,84.945475086
4,3,greedy_best_first_graph_search,5614,5616,49429,22,77.702908385
5,3,greedy_best_first_graph_search,5614,5616,49429,22,77.29276129
0,3,uniform_cost_search,18235,18237,159716,12,250.791223777
1,3,uniform_cost_search,18235,18237,159716,12,258.268056332
2,3,uniform_cost_search,18235,18237,159716,12,267.202115902
3,3,uniform_cost_search,18235,18237,159716,12,262.632788063
4,3,uniform_cost_search,18235,18237,159716,12,252.314594359
5,3,uniform_cost_search,18235,18237,159716,12,250.674895806
